unicode,description,annotation
🏅,SPORTS MEDAL,"medal,object,sport"
⚽️,SOCCER BALL,"ball,object,place,soccer,sport"
⚾️,BASEBALL,"ball,baseball,object,place,sport"
🏀,BASKETBALL AND HOOP basketball,"ball,basketball,hoop,object,place,sport"
🏐,VOLLEYBALL,"ball,game,object,sport,volleyball"
🏈,AMERICAN FOOTBALL,"american,ball,football,object,place,sport"
🏉,RUGBY FOOTBALL,"ball,football,object,place,rugby,sport"
🎾,TENNIS RACQUET AND BALL tennis,"ball,object,place,racquet,sport,tennis"
🎱,BILLIARDS,"8,8 ball,ball,billiard,eight,game,object,place,sport"
🎳,BOWLING,"ball,bowling,game,object,place,sport"
🏏,CRICKET BAT AND BALL cricket,"ball,bat,cricket,game,object,sport"
🏑,FIELD HOCKEY STICK AND BALL field hockey,"ball,field,game,hockey,object,sport,stick"
🏒,ICE HOCKEY STICK AND PUCK,"game,hockey,ice,object,puck,sport,stick"
🏓,TABLE TENNIS PADDLE AND BALL ping pong,"ball,bat,game,object,paddle,sport,table tennis"
🏸,BADMINTON RACQUET AND SHUTTLECOCK badminton,"badminton,birdie,game,object,racquet,shuttlecock,sport"
⛳️,FLAG IN HOLE,"flag,golf,hole,object,place,sport,travel"
🏌️,GOLFER,"ball,golf,person,sport"
⛸️,ICE SKATE,"ice,place,skate,sport,travel"
🎣,FISHING POLE AND FISH fishing pole,"entertainment,fish,object,place,pole,sport"
🎽,RUNNING SHIRT WITH SASH running shirt,"person,place,running,sash,shirt,sport"
🎿,SKI AND SKI BOOT skis,"object,ski,snow,sport"
⛷️,SKIER,"person,ski,snow,sport,travel"
🏂,SNOWBOARDER,"person,ski,snow,snowboard,sport"
🏄,SURFER,"person,sport,surfer,surfing"
🏄🏻,"SURFER,TYPE12","person,sport,surfer,surfing"
🏄🏼,"SURFER,TYPE3","person,sport,surfer,surfing"
🏄🏽,"SURFER,TYPE4","person,sport,surfer,surfing"
🏄🏾,"SURFER,TYPE5","person,sport,surfer,surfing"
🏄🏿,"SURFER,TYPE6","person,sport,surfer,surfing"
🏇,HORSE RACING,"horse,jockey,person,racehorse,racing,sport,travel"
🏊,SWIMMER,"person,sport,swim,swimmer,travel"
🏊🏻,"SWIMMER,TYPE12","person,sport,swim,swimmer,travel"
🏊🏼,"SWIMMER,TYPE3","person,sport,swim,swimmer,travel"
🏊🏽,"SWIMMER,TYPE4","person,sport,swim,swimmer,travel"
🏊🏾,"SWIMMER,TYPE5","person,sport,swim,swimmer,travel"
🏊🏿,"SWIMMER,TYPE6","person,sport,swim,swimmer,travel"
⛹️,PERSON WITH BALL,"ball,person,sport,travel"
⛹️🏻,"PERSON WITH BALL,TYPE12","ball,person,sport,travel"
⛹️🏼,"PERSON WITH BALL,TYPE3","ball,person,sport,travel"
⛹️🏽,"PERSON WITH BALL,TYPE4","ball,person,sport,travel"
⛹️🏾,"PERSON WITH BALL,TYPE5","ball,person,sport,travel"
