unicode,description,annotation
🇪🇸,Flag for Spain,"flag,other,spain"
🇪🇹,Flag for Ethiopia,"ethiopia,flag,other"
🇪🇺,Flag for European Union,"european union,flag,other"
🇫🇮,Flag for Finland,"finland,flag,other"
🇫🇯,Flag for Fiji,"fiji,flag,other"
🇫🇰,Flag for Falkland Islands,"falkland,falklands,flag,island,islas,malvinas,other"
🇫🇲,Flag for Micronesia,"flag,micronesia,other"
🇫🇴,Flag for Faroe Islands,"faroe,flag,island,other"
🇫🇷,Flag for France,"flag,france,other"
🇬🇦,Flag for Gabon,"flag,gabon,other"
🇬🇧,Flag for United Kingdom,"britain,british,cornwall,england,flag,great britain,ireland,northern ireland,other,scotland,uk,union jack,united,united kingdom,wales"
🇬🇩,Flag for Grenada,"flag,grenada,other"
🇬🇪,Flag for Georgia,"flag,georgia,other"
🇬🇫,Flag for French Guiana,"flag,french,guiana,other"
🇬🇬,Flag for Guernsey,"flag,guernsey,other"
🇬🇭,Flag for Ghana,"flag,ghana,other"
🇬🇮,Flag for Gibraltar,"flag,gibraltar,other"
🇬🇱,Flag for Greenland,"flag,greenland,other"
🇬🇲,Flag for Gambia,"flag,gambia,other"
🇬🇳,Flag for Guinea,"flag,guinea,other"
🇬🇵,Flag for Guadeloupe,"flag,guadeloupe,other"
🇬🇶,Flag for Equatorial Guinea,"equatorial guinea,flag,guinea,other"
🇬🇷,Flag for Greece,"flag,greece,other"
🇬🇸,Flag for South Georgia  South Sandwich Islands,"flag,georgia,island,other,south,south georgia,south sandwich"
🇬🇹,Flag for Guatemala,"flag,guatemala,other"
🇬🇺,Flag for Guam,"flag,guam,other"
🇬🇼,Flag for GuineaBissau,"bissau,flag,guinea,other"
🇬🇾,Flag for Guyana,"flag,guyana,other"
🇭🇰,Flag for Hong Kong,"china,flag,hong kong,other"
🇭🇲,Flag for Heard  McDonald Islands,"flag,heard,island,mcdonald,other"
🇭🇳,Flag for Honduras,"flag,honduras,other"
🇭🇷,Flag for Croatia,"croatia,flag,other"
🇭🇹,Flag for Haiti,"flag,haiti,other"
🇭🇺,Flag for Hungary,"flag,hungary,other"
🇮🇨,Flag for Canary Islands,"canary,flag,island,other"
🇮🇩,Flag for Indonesia,"flag,indonesia,other"
🇮🇪,Flag for Ireland,"flag,ireland,other"
🇮🇱,Flag for Israel,"flag,israel,other"
🇮🇲,Flag for Isle of Man,"flag,isle of man,other"
🇮🇳,Flag for India,"flag,india,other"
🇮🇴,Flag for British Indian Ocean Territory,"british,chagos,flag,indian ocean,island,other"
🇮🇶,Flag for Iraq,"flag,iraq,other"
🇮🇷,Flag for Iran,"flag,iran,other"
🇮🇸,Flag for Iceland,"flag,iceland,other"
🇮🇹,Flag for Italy,"flag,italy,other"
🇯🇪,Flag for Jersey,"flag,jersey,other"
🇯🇲,Flag for Jamaica,"flag,jamaica,other"
🇯🇴,Flag for Jordan,"flag,jordan,other"
🇯🇵,Flag for Japan,"flag,japan,other"
🇰🇪,Flag for Kenya,"flag,kenya,other"
🇰🇬,Flag for Kyrgyzstan,"flag,kyrgyzstan,other"
🇰🇭,Flag for Cambodia,"cambodia,flag,other"
🇰🇮,Flag for Kiribati,"flag,kiribati,other"
🇰🇲,Flag for Comoros,"comoros,flag,other"
🇰🇳,Flag for St. Kitts  Nevis,"flag,kitts,nevis,other,saint"
🇰🇵,Flag for North Korea,"flag,korea,north,north korea,other"
🇰🇷,Flag for South Korea,"flag,korea,other,south,south korea"
🇰🇼,Flag for Kuwait,"flag,kuwait,other"
🇰🇾,Flag for Cayman Islands,"cayman,flag,island,other"
🇰🇿,Flag for Kazakhstan,"flag,kazakhstan,other"
🇱🇦,Flag for Laos,"flag,laos,other"
🇱🇧,Flag for Lebanon,"flag,lebanon,other"
🇱🇨,Flag for St. Lucia,"flag,lucia,other,saint"
🇱🇮,Flag for Liechtenstein,"flag,liechtenstein,other"
🇱🇰,Flag for Sri Lanka,"flag,other,sri lanka"
🇱🇷,Flag for Liberia,"flag,liberia,other"
🇱🇸,Flag for Lesotho,"flag,lesotho,other"
🇱🇹,Flag for Lithuania,"flag,lithuania,other"
🇱🇺,Flag for Luxembourg,"flag,luxembourg,other"
🇱🇻,Flag for Latvia,"flag,latvia,other"
🇱🇾,Flag for Libya,"flag,libya,other"
🇲🇦,Flag for Morocco,"flag,morocco,other"
🇲🇨,Flag for Monaco,"flag,monaco,other"
🇲🇩,Flag for Moldova,"flag,moldova,other"
🇲🇪,Flag for Montenegro,"flag,montenegro,other"
🇲🇫,Flag for St. Martin,"flag,french,martin,other,saint"
🇲🇬,Flag for Madagascar,"flag,madagascar,other"
🇲🇭,Flag for Marshall Islands,"flag,island,marshall,other"
🇲🇰,Flag for Macedonia,"flag,macedonia,other"
🇲🇱,Flag for Mali,"flag,mali,other"
🇲🇲,Flag for Myanmar,"burma,flag,myanmar,other"
🇲🇳,Flag for Mongolia,"flag,mongolia,other"
🇲🇴,Flag for Macau,"china,flag,macao,macau,other"
🇲🇵,Flag for Northern Mariana Islands,"flag,island,mariana,north,northern mariana,other"
🇲🇶,Flag for Martinique,"flag,martinique,other"
🇲🇷,Flag for Mauritania,"flag,mauritania,other"
🇲🇸,Flag for Montserrat,"flag,montserrat,other"
🇲🇹,Flag for Malta,"flag,malta,other"
🇲🇺,Flag for Mauritius,"flag,mauritius,other"
🇲🇻,Flag for Maldives,"flag,maldives,other"
🇲🇼,Flag for Malawi,"flag,malawi,other"
🇲🇽,Flag for Mexico,"flag,mexico,other"
🇲🇾,Flag for Malaysia,"flag,malaysia,other"
🇲🇿,Flag for Mozambique,"flag,mozambique,other"
🇳🇦,Flag for Namibia,"flag,namibia,other"
🇳🇨,Flag for New Caledonia,"flag,new,new caledonia,other"
🇳🇪,Flag for Niger,"flag,niger,other"
🇳🇫,Flag for Norfolk Island,"flag,island,norfolk,other"
🇳🇬,Flag for Nigeria,"flag,nigeria,other"
🇳🇮,Flag for Nicaragua,"flag,nicaragua,other"
🇳🇱,Flag for Netherlands,"flag,netherlands,other"
🇳🇴,Flag for Norway,"flag,norway,other"
🇳🇵,Flag for Nepal,"flag,nepal,other"
🇳🇷,Flag for Nauru,"flag,nauru,other"
🇳🇺,Flag for Niue,"flag,niue,other"
🇳🇿,Flag for New Zealand,"flag,new,new zealand,other"
🇴🇲,Flag for Oman,"flag,oman,other"
🇵🇦,Flag for Panama,"flag,other,panama"
🇵🇪,Flag for Peru,"flag,other,peru"
🇵🇫,Flag for French Polynesia,"flag,french,other,polynesia"
🇵🇬,Flag for Papua New Guinea,"flag,guinea,new,other,papua new guinea"
🇵🇭,Flag for Philippines,"flag,other,philippines"
🇵🇰,Flag for Pakistan,"flag,other,pakistan"
🇵🇱,Flag for Poland,"flag,other,poland"
🇵🇲,Flag for St. Pierre  Miquelon,"flag,miquelon,other,pierre,saint"
🇵🇳,Flag for Pitcairn Islands,"flag,island,other,pitcairn"
🇵🇷,Flag for Puerto Rico,"flag,other,puerto rico"
🇵🇸,Flag for Palestinian Territories,"flag,other,palestine"
🇵🇹,Flag for Portugal,"flag,other,portugal"
🇵🇼,Flag for Palau,"flag,other,palau"
🇵🇾,Flag for Paraguay,"flag,other,paraguay"
🇶🇦,Flag for Qatar,"flag,other,qatar"
🇷🇪,Flag for Réunion,"flag,other,reunion,réunion"
🇷🇴,Flag for Romania,"flag,other,romania"
🇷🇸,Flag for Serbia,"flag,other,serbia"
🇷🇺,Flag for Russia,"flag,other,russia"
🇷🇼,Flag for Rwanda,"flag,other,rwanda"
🇸🇦,Flag for Saudi Arabia,"flag,other,saudi arabia"
🇸🇧,Flag for Solomon Islands,"flag,island,other,solomon"
🇸🇨,Flag for Seychelles,"flag,other,seychelles"
🇸🇩,Flag for Sudan,"flag,other,sudan"
🇸🇪,Flag for Sweden,"flag,other,sweden"
🇸🇬,Flag for Singapore,"flag,other,singapore"
🇸🇭,Flag for St. Helena,"flag,helena,other,saint"
🇸🇮,Flag for Slovenia,"flag,other,slovenia"
🇸🇯,Flag for Svalbard  Jan Mayen,"flag,jan mayen,other,svalbard"
🇸🇰,Flag for Slovakia,"flag,other,slovakia"
🇸🇱,Flag for Sierra Leone,"flag,other,sierra leone"
🇸🇲,Flag for San Marino,"flag,other,san marino"
🇸🇳,Flag for Senegal,"flag,other,senegal"
🇸🇴,Flag for Somalia,"flag,other,somalia"
🇸🇷,Flag for Suriname,"flag,other,suriname"
🇸🇸,Flag for South Sudan,"flag,other,south,south sudan,sudan"
🇸🇹,Flag for São Tomé  Príncipe,"flag,other,principe,príncipe,sao tome,são tomé"
🇸🇻,Flag for El Salvador,"el salvador,flag,other"
🇸🇽,Flag for Sint Maarten,"flag,maarten,other,sint"
🇸🇾,Flag for Syria,"flag,other,syria"
🇸🇿,Flag for Swaziland,"flag,other,swaziland"
🇹🇦,Flag for Tristan da Cunha,"flag,other,tristan da cunha"
🇹🇨,Flag for Turks  Caicos Islands,"caicos,flag,island,other,turks"
🇹🇩,Flag for Chad,"chad,flag,other"
🇹🇫,Flag for French Southern Territories,"antarctic,flag,french,other"
🇹🇬,Flag for Togo,"flag,other,togo"
🇹🇭,Flag for Thailand,"flag,other,thailand"
🇹🇯,Flag for Tajikistan,"flag,other,tajikistan"
🇹🇰,Flag for Tokelau,"flag,other,tokelau"
🇹🇱,Flag for TimorLeste,"east,east timor,flag,other,timorleste"
🇹🇲,Flag for Turkmenistan,"flag,other,turkmenistan"
🇹🇳,Flag for Tunisia,"flag,other,tunisia"
🇹🇴,Flag for Tonga,"flag,other,tonga"
🇹🇷,Flag for Turkey,"flag,other,turkey"
🇹🇹,Flag for Trinidad  Tobago,"flag,other,tobago,trinidad"
🇹🇻,Flag for Tuvalu,"flag,other,tuvalu"
🇹🇼,Flag for Taiwan,"china,flag,other,taiwan"
🇹🇿,Flag for Tanzania,"flag,other,tanzania"
🇺🇦,Flag for Ukraine,"flag,other,ukraine"
🇺🇬,Flag for Uganda,"flag,other,uganda"
🇺🇲,Flag for U.S. Outlying Islands,"america,flag,island,minor outlying,other,united,united states,us,usa"
🇺🇸,Flag for United States,"america,flag,other,stars and stripes,united,united states"
🇺🇾,Flag for Uruguay,"flag,other,uruguay"
🇺🇿,Flag for Uzbekistan,"flag,other,uzbekistan"
🇻🇦,Flag for Vatican City,"flag,other,vatican"
🇻🇨,Flag for St. Vincent  Grenadines,"flag,grenadines,other,saint,vincent"
🇻🇪,Flag for Venezuela,"flag,other,venezuela"
🇻🇬,Flag for British Virgin Islands,"british,flag,island,other,virgin"
🇻🇮,Flag for U.S. Virgin Islands,"america,american,flag,island,other,united,united states,us,usa,virgin"
🇻🇳,Flag for Vietnam,"flag,other,viet nam,vietnam"
🇻🇺,Flag for Vanuatu,"flag,other,vanuatu"
🇼🇫,Flag for Wallis  Futuna,"flag,futuna,other,wallis"
🇼🇸,Flag for Samoa,"flag,other,samoa"
🇽🇰,Flag for Kosovo,"flag,kosovo,other"
🇾🇪,Flag for Yemen,"flag,other,yemen"
🇾🇹,Flag for Mayotte,"flag,mayotte,other"
🇿🇦,Flag for South Africa,"flag,other,south,south africa"
🇿🇲,Flag for Zambia,"flag,other,zambia"
🇿🇼,Flag for Zimbabwe,"flag,other,zimbabwe"
